distance_miles,latitude,longitude,elevation_m
0.0,32.589741,-116.466981,873.0
2.36,32.607388,-116.501842,724.0
3.98,32.627416,-116.516261,995.0
5.88,32.651172,-116.532857,963.0
7.35,32.672481,-116.532286,990.0
10.48,32.707163,-116.497542,1047.0
14.26,32.749535,-116.456496,1228.0
17.9,32.795841,-116.426229,1612.0
22.09,32.856053,-116.417645,1764.0
25.3,32.896211,-116.445618,1700.0
28.58,32.932917,-116.481796,1704.0
32.13,32.975061,-116.516816,1504.0
34.79,33.01331,-116.522181,1244.0
37.89,33.057795,-116.51417,1051.0
40.83,33.073559,-116.466883,773.0
44.02,33.116978,-116.485616,946.0
45.87,33.137846,-116.505812,1026.0
48.22,33.159059,-116.537466,1066.0
50.44,33.184982,-116.560501,1281.0
52.38,33.208987,-116.577852,1133.0
55.41,33.248724,-116.600004,1065.0
59.58,33.291532,-116.651013,903.0
62.15,33.321563,-116.624578,1094.0
63.67,33.343407,-116.628365,1505.0
65.86,33.365894,-116.601525,1597.0
68.44,33.402939,-116.607047,1683.0
71.17,33.442468,-116.607548,1234.0
73.94,33.475563,-116.580298,1102.0
76.05,33.506009,-116.576231,1291.0
78.18,33.535542,-116.586825,1453.0
80.75,33.571133,-116.57331,1494.0
84.16,33.62018,-116.56659,1815.0
88.94,33.68288,-116.602104,1978.0
93.1,33.733738,-116.640904,2063.0
95.45,33.760664,-116.66593,2472.0
97.7,33.786346,-116.690085,2624.0
99.21,33.807148,-116.698209,2715.0
101.79,33.837291,-116.725046,2512.0
103.18,33.857048,-116.720772,1820.0
104.76,33.873883,-116.70214,1295.0
105.6,33.88548,-116.697381,671.0
108.23,33.923526,-116.694102,408.0
111.68,33.970574,-116.67363,1010.0
114.19,34.006866,-116.671721,785.0
116.47,34.03833,-116.659538,1106.0
118.93,34.073225,-116.668206,1241.0
122.72,34.121823,-116.699221,1770.0
125.49,34.128182,-116.746992,2338.0
126.8,34.146995,-116.74312,2613.0
129.07,34.166638,-116.711336,2561.0
132.14,34.20815,-116.730625,2422.0
136.4,34.26148,-116.76839,2113.0
139.81,34.29844,-116.808038,2077.0
143.12,34.289917,-116.865152,2294.0
146.82,34.286097,-116.929992,2361.0
149.45,34.298076,-116.973738,2072.0
152.78,34.279804,-117.027858,1861.0
155.49,34.276878,-117.075201,1608.0
158.51,34.274211,-117.128008,1410.0
161.52,34.316698,-117.139973,1213.0
164.58,34.340446,-117.185338,1111.0
167.57,34.341018,-117.237878,946.0
170.47,34.309255,-117.271254,1088.0
172.89,34.30685,-117.313563,972.0
175.16,34.28885,-117.34697,1048.0
177.21,34.297936,-117.381159,1168.0
179.97,34.318996,-117.422339,1128.0
182.44,34.307815,-117.463401,943.0
184.24,34.293047,-117.489444,1051.0
186.08,34.289423,-117.521549,1457.0
189.7,34.311898,-117.578806,1918.0
193.22,34.330201,-117.636428,2559.0
197.73,34.36899,-117.70015,2303.0
200.88,34.370858,-117.755517,2163.0
203.63,34.351272,-117.79753,2703.0
207.09,34.360512,-117.857285,2185.0
208.66,34.359299,-117.884735,1874.0
211.31,34.35362,-117.930789,2051.0
214.14,34.342965,-117.978813,1856.0
215.98,34.367677,-117.990655,1611.0
218.26,34.382883,-118.026159,1959.0
220.51,34.387122,-118.065435,1730.0
223.59,34.387386,-118.119494,1707.0
226.27,34.380314,-118.165816,1763.0
229.68,34.378225,-118.225618,1701.0
231.84,34.405566,-118.244163,1055.0
234.62,34.43445,-118.278092,785.0
236.76,34.465212,-118.283466,950.0
240.0,34.496122,-118.326252,777.0
244.43,34.560134,-118.320687,1200.0
246.59,34.590521,-118.330297,1066.0
248.72,34.608433,-118.360664,1127.0
250.07,34.623071,-118.376554,1154.0
251.95,34.639627,-118.402803,1295.0
254.96,34.654169,-118.452825,1053.0
257.72,34.677861,-118.491927,1380.0
260.09,34.68755,-118.532024,1467.0
263.84,34.709245,-118.592707,1442.0
266.83,34.715707,-118.644796,1701.0
268.44,34.738937,-118.641699,1179.0
270.91,34.763789,-118.610462,1001.0
282.96,34.874966,-118.446437,893.0
290.1,34.977624,-118.462508,1558.0
292.14,34.993973,-118.432518,1887.0
295.74,35.029962,-118.386401,1592.0
299.83,35.069835,-118.332728,1384.0
304.98,35.110702,-118.256463,1260.0
307.8,35.151435,-118.253042,1879.0
311.44,35.200438,-118.229175,1799.0
314.92,35.248301,-118.248557,1609.0
317.17,35.280355,-118.256006,1568.0
321.26,35.335432,-118.282828,1686.0
324.93,35.386719,-118.30031,1911.0
328.26,35.434397,-118.309799,1943.0
331.33,35.455444,-118.261853,1924.0
334.56,35.45296,-118.204398,1400.0
339.53,35.496236,-118.133764,1614.0
343.73,35.55558,-118.116993,1940.0
346.86,35.600602,-118.123102,1991.0
351.06,35.635625,-118.061674,2106.0
353.79,35.662972,-118.026648,1619.0
357.95,35.716007,-117.99144,2214.0
361.01,35.745144,-118.032809,1559.0
363.16,35.776109,-118.029351,1658.0
365.0,35.797794,-118.010302,2156.0
368.07,35.834346,-118.041738,1695.0
372.31,35.887637,-118.079381,2410.0
376.52,35.922361,-118.141395,1889.0
380.97,35.986617,-118.146366,1786.0
386.85,36.070735,-118.128648,1929.0
390.1,36.117778,-118.129171,2225.0
394.6,36.183072,-118.128607,2388.0
398.04,36.232613,-118.12199,2968.0
402.47,36.296216,-118.132696,2761.0
406.14,36.349066,-118.125906,3119.0
410.09,36.403527,-118.148079,3014.0
413.79,36.42855,-118.207034,3262.0
417.73,36.473362,-118.251032,3497.0
421.73,36.492285,-118.319052,3046.0
425.37,36.531617,-118.36292,3223.0
428.63,36.577954,-118.374425,3347.0
432.81,36.637651,-118.386341,3352.0
436.81,36.694734,-118.373475,4009.0
439.31,36.731068,-118.373433,3213.0
442.44,36.766083,-118.409386,3135.0
444.5,36.795812,-118.407572,3462.0
447.76,36.843154,-118.408606,3019.0
450.68,36.880888,-118.432167,2711.0
453.53,36.911494,-118.39733,3275.0
456.09,36.941877,-118.423937,3461.0
458.82,36.978377,-118.443175,3135.0
462.93,37.035514,-118.463865,3527.0
465.23,37.054804,-118.498038,3079.0
468.63,37.052962,-118.559634,2571.0
471.93,37.092167,-118.594041,2656.0
474.79,37.114555,-118.63775,3141.0
476.74,37.113681,-118.6732,3600.0
481.06,37.172526,-118.69998,3313.0
484.17,37.189235,-118.752427,2909.0
487.21,37.204369,-118.804462,2582.0
491.74,37.242775,-118.871392,2581.0
494.19,37.277954,-118.87673,3170.0
497.5,37.325456,-118.868329,2955.0
501.53,37.377059,-118.902891,2766.0
504.32,37.414156,-118.922985,2423.0
506.33,37.44326,-118.921768,2979.0
508.95,37.480257,-118.932254,3023.0
511.44,37.516234,-118.936112,3158.0
514.66,37.5385,-118.987841,3098.0
519.18,37.582388,-119.049212,2733.0
522.41,37.618525,-119.086877,2339.0
526.29,37.674741,-119.088467,2411.0
528.87,37.707698,-119.110831,2918.0
532.29,37.730381,-119.166458,2996.0
535.26,37.747693,-119.216232,3017.0
537.58,37.765839,-119.252112,3254.0
539.97,37.799466,-119.262801,2755.0
545.24,37.865715,-119.310619,2675.0
550.45,37.898866,-119.396572,2577.0
553.19,37.937303,-119.409069,2602.0
558.14,38.004522,-119.377014,2604.0
560.27,38.002588,-119.416045,2937.0
561.75,38.010445,-119.441518,2801.0
564.06,38.012089,-119.483828,2839.0
565.79,38.018355,-119.514671,2452.0
567.55,38.043038,-119.523007,2774.0
570.09,38.044807,-119.569585,2468.0
571.83,38.059215,-119.596076,2453.0
574.08,38.069234,-119.635328,2494.0
576.96,38.110158,-119.625022,2553.0
581.15,38.168253,-119.60219,2820.0
583.9,38.198847,-119.569832,2760.0
586.7,38.238869,-119.579092,2598.0
590.32,38.269442,-119.633248,3221.0
594.29,38.326713,-119.639695,3007.0
596.9,38.36268,-119.624479,3106.0
600.17,38.402158,-119.657972,2541.0
603.16,38.440685,-119.683298,2672.0
605.87,38.461867,-119.725487,2816.0
608.17,38.486272,-119.754499,2579.0
611.34,38.528927,-119.77615,2711.0
613.52,38.545595,-119.810506,2667.0
616.44,38.583846,-119.833506,2608.0
618.49,38.613242,-119.827541,2621.0
621.22,38.605914,-119.87724,2401.0
624.01,38.627085,-119.921354,2606.0
628.0,38.666448,-119.975652,2604.0
630.74,38.700928,-120.000788,2612.0
634.63,38.744225,-120.047145,2689.0
637.78,38.789286,-120.037882,2517.0
640.69,38.831353,-120.0403,2337.0
645.0,38.856587,-120.113777,2533.0
646.96,38.88428,-120.121719,2355.0
649.28,38.915083,-120.138993,2665.0
651.92,38.948462,-120.163139,2467.0
655.32,38.992136,-120.192242,2396.0
659.29,39.03742,-120.237865,2145.0
662.76,39.08741,-120.245721,2462.0
666.37,39.139781,-120.246095,2528.0
669.71,39.178426,-120.283602,2260.0
672.45,39.217846,-120.2774,2411.0
675.77,39.263523,-120.296957,2498.0
679.78,39.317324,-120.325147,2187.0
681.82,39.344547,-120.34011,2235.0
684.93,39.382553,-120.371412,2540.0
687.44,39.411986,-120.399169,2325.0
690.25,39.423976,-120.4496,2309.0
694.22,39.469359,-120.495221,2225.0
698.4,39.515941,-120.545419,1954.0
700.7,39.542405,-120.57179,1636.0
704.04,39.58084,-120.609699,1470.0
707.17,39.597719,-120.664346,2243.0
709.43,39.62954,-120.65411,1920.0
712.89,39.675189,-120.681055,2230.0
716.87,39.711061,-120.739734,2043.0
719.94,39.725814,-120.794402,1817.0
723.71,39.758395,-120.851296,2101.0
728.47,39.779727,-120.936589,1836.0
732.31,39.787861,-121.008353,1530.0
734.63,39.8076,-121.043844,982.0
736.45,39.806116,-121.078096,1242.0
740.23,39.848708,-121.122877,1806.0
743.06,39.88952,-121.117335,1766.0
747.14,39.942439,-121.151504,2105.0
751.59,39.973621,-121.22517,1931.0
754.26,40.001544,-121.260142,796.0
757.5,40.028938,-121.310026,1109.0
761.34,40.034601,-121.382334,1666.0
763.32,40.063178,-121.379067,2026.0
767.35,40.120176,-121.39549,2177.0
770.99,40.156441,-121.445521,1988.0
774.07,40.194488,-121.414755,2035.0
778.06,40.222275,-121.348508,2035.0
780.37,40.255507,-121.343449,1498.0
784.89,40.319729,-121.361144,1775.0
789.38,40.38466,-121.36483,1791.0
793.36,40.436874,-121.396893,1823.0
795.83,40.472348,-121.389679,1934.0
801.65,40.556616,-121.384626,1944.0
807.43,40.609006,-121.470593,1491.0
812.54,40.672211,-121.419594,1340.0
816.52,40.728766,-121.405153,1417.0
819.49,40.77135,-121.397416,1522.0
823.93,40.834104,-121.416716,1407.0
829.57,40.911335,-121.452272,1160.0
833.76,40.933709,-121.526912,1000.0
837.67,40.96621,-121.588251,959.0
841.61,41.00601,-121.642669,922.0
845.25,41.022198,-121.709055,893.0
847.91,41.043617,-121.751517,1402.0
851.94,41.088582,-121.801134,1660.0
855.68,41.138096,-121.771886,1544.0
858.77,41.170399,-121.812941,1581.0
862.64,41.177166,-121.886912,1863.0
866.17,41.156993,-121.949387,1685.0
869.16,41.12651,-121.990279,1427.0
871.36,41.119464,-122.031552,991.0
874.41,41.115042,-122.089911,745.0
876.42,41.116766,-122.12866,1187.0
878.55,41.134823,-122.161734,906.0
881.26,41.142123,-122.213059,1378.0
883.49,41.149871,-122.254782,1132.0
885.89,41.16172,-122.298147,701.0
888.47,41.162019,-122.347833,823.0
890.52,41.183995,-122.374298,1031.0
892.77,41.213518,-122.392519,1791.0
898.49,41.187557,-122.497235,2099.0
904.32,41.271964,-122.503908,2167.0
909.18,41.339159,-122.531923,2087.0
911.41,41.327898,-122.572322,2040.0
916.01,41.290409,-122.645708,1840.0
919.65,41.273758,-122.712363,1806.0
924.49,41.223791,-122.777611,2183.0
928.02,41.202307,-122.839539,2164.0
931.29,41.219113,-122.898281,1893.0
935.75,41.268475,-122.953906,2214.0
940.31,41.33429,-122.961644,2056.0
944.74,41.394238,-122.992335,1822.0
949.19,41.44876,-123.038295,1880.0
954.07,41.496978,-123.107253,1919.0
956.95,41.53332,-123.134465,2041.0
961.11,41.567487,-123.200823,1841.0
964.87,41.620921,-123.21554,2018.0
969.49,41.680283,-123.257072,1862.0
971.82,41.711329,-123.239398,1136.0
975.22,41.759672,-123.226329,773.0
978.82,41.810939,-123.213321,538.0
981.82,41.854285,-123.216691,942.0
985.73,41.909514,-123.199551,1757.0
989.6,41.941281,-123.137497,1524.0
994.14,41.951259,-123.04996,1816.0
998.73,41.942588,-122.961331,2097.0
1002.95,41.992365,-122.913748,1728.0
1007.06,42.035146,-122.857963,2004.0
1010.51,42.053153,-122.795035,1808.0
1014.53,42.075109,-122.72251,2052.0
1018.36,42.076188,-122.647648,1557.0
1021.77,42.05761,-122.586037,1440.0
1024.9,42.042359,-122.528447,1569.0
1029.09,42.090457,-122.478504,1599.0
1032.62,42.138534,-122.501877,1483.0
1035.72,42.166797,-122.454744,1592.0
1040.28,42.201677,-122.378881,1465.0
1045.01,42.243382,-122.3056,1747.0
1048.85,42.292941,-122.271457,1657.0
1052.06,42.338789,-122.282594,1609.0
1055.19,42.383651,-122.291491,1577.0
1058.34,42.426924,-122.271395,1809.0
1061.39,42.470676,-122.278964,1802.0
1065.63,42.520375,-122.229956,1835.0
1070.17,42.586092,-122.225146,2049.0
1074.19,42.643347,-122.210926,2205.0
1077.8,42.686781,-122.171072,1770.0
1082.47,42.752203,-122.194652,1845.0
1086.96,42.816296,-122.179397,1918.0
1091.56,42.88243,-122.168099,1951.0
1096.96,42.943784,-122.234272,1669.0
1101.74,43.002077,-122.18286,1892.0
1107.03,43.035621,-122.088553,1891.0
1111.48,43.099993,-122.08341,1824.0
1115.86,43.162377,-122.067278,2190.0
1120.37,43.219742,-122.024329,2221.0
1123.24,43.253394,-121.990955,1989.0
1128.36,43.325559,-122.014693,1980.0
1132.58,43.380362,-122.051909,1959.0
1136.37,43.426792,-122.092386,1884.0
1139.87,43.46588,-122.136822,1724.0
1142.69,43.506688,-122.141569,2042.0
1146.14,43.55575,-122.128356,2007.0
1149.75,43.587342,-122.070845,1630.0
1153.37,43.59801,-122.000016,1786.0
1156.93,43.649661,-122.000865,1656.0
1161.0,43.70836,-121.993616,2012.0
1164.59,43.757455,-121.969754,1803.0
1168.6,43.815256,-121.960163,1700.0
1171.44,43.856341,-121.960716,1821.0
1174.74,43.898121,-121.928395,1645.0
1178.13,43.936877,-121.88636,1617.0
1181.07,43.976346,-121.864558,1653.0
1184.28,44.011553,-121.822229,1735.0
1187.63,44.059173,-121.808811,1875.0
1191.64,44.117134,-121.813843,1986.0
1195.38,44.171312,-121.816544,2022.0
1197.73,44.200959,-121.793116,1984.0
1201.11,44.249219,-121.781371,1689.0
1203.96,44.276594,-121.824586,1774.0
1207.13,44.318114,-121.852143,1754.0
1211.36,44.379325,-121.85604,1432.0
1215.26,44.43579,-121.854303,1605.0
1217.77,44.472137,-121.850242,1912.0
1221.24,44.51405,-121.811307,1645.0
1225.86,44.580555,-121.800793,1944.0
1229.56,44.63304,-121.816042,1748.0
1231.75,44.658786,-121.842218,1435.0
1234.32,44.695512,-121.83396,1618.0
1236.96,44.722301,-121.795448,1987.0
1240.09,44.767269,-121.787922,1743.0
1243.33,44.811941,-121.808224,1616.0
1247.01,44.854887,-121.763404,1420.0
1250.65,44.905857,-121.744088,1345.0
1254.26,44.958097,-121.743796,1360.0
1257.69,45.004457,-121.718605,1066.0
1261.98,45.066567,-121.722314,1219.0
1265.89,45.11572,-121.762524,1036.0
1269.11,45.162245,-121.759653,1035.0
1273.72,45.220547,-121.713128,1295.0
1278.14,45.281571,-121.685319,1278.0
1281.87,45.333597,-121.705737,1841.0
1284.42,45.346886,-121.754803,1635.0
1286.17,45.369908,-121.769979,1269.0
1288.6,45.401118,-121.79346,1126.0
1291.0,45.435593,-121.798556,1125.0
1294.76,45.478586,-121.846255,1314.0
1298.79,45.536965,-121.841177,1289.0
1302.92,45.586131,-121.792383,1244.0
1307.26,45.636499,-121.84626,1231.0
1310.02,45.675093,-121.831343,317.0
1313.3,45.661992,-121.896694,70.0
1316.13,45.668733,-121.954652,167.0
1317.62,45.680172,-121.980818,596.0
1321.14,45.726518,-122.011326,921.0
1323.58,45.754446,-122.042158,561.0
1325.69,45.779915,-122.017723,602.0
1327.62,45.797379,-121.986305,891.0
1330.0,45.80755,-121.939015,352.0
1333.2,45.817197,-121.873981,437.0
1335.87,45.828867,-121.821018,998.0
1339.07,45.869629,-121.789485,1096.0
1342.26,45.914757,-121.803976,1106.0
1345.83,45.96636,-121.808517,1477.0
1349.37,46.015767,-121.788509,1449.0
1353.29,46.071882,-121.775807,1462.0
1356.79,46.121565,-121.760641,1235.0
1360.26,46.134949,-121.690706,1075.0
1363.03,46.150178,-121.637096,1325.0
1365.7,46.179115,-121.600135,1451.0
1367.55,46.195089,-121.569075,1861.0
1370.15,46.231579,-121.554798,1858.0
1373.29,46.267402,-121.514487,1753.0
1377.23,46.324231,-121.506773,1447.0
1381.7,46.387786,-121.487893,1526.0
1384.15,46.393076,-121.437015,1553.0
1387.36,46.435867,-121.410691,1762.0
1391.27,46.490086,-121.43502,1879.0
1393.7,46.522589,-121.454287,2060.0
1395.64,46.539888,-121.42187,1597.0
1398.08,46.574002,-121.4083,1602.0
1400.82,46.612932,-121.397603,1797.0
1403.08,46.64298,-121.378746,1358.0
1406.13,46.68386,-121.403654,1679.0
1408.51,46.718222,-121.402322,1538.0
1411.95,46.764952,-121.428008,1322.0
1413.77,46.784858,-121.453266,1696.0
1417.28,46.833786,-121.473755,1648.0
1420.92,46.877477,-121.51696,1710.0
1424.63,46.921549,-121.471979,1813.0
1428.51,46.974193,-121.443253,1882.0
1432.54,47.022465,-121.394943,1769.0
1436.35,47.076352,-121.377008,1557.0
1439.77,47.123917,-121.397524,1583.0
1443.61,47.135601,-121.317575,1505.0
1447.17,47.186413,-121.305278,1360.0
1450.16,47.219144,-121.347287,1351.0
1453.13,47.260965,-121.332943,1271.0
1455.95,47.286832,-121.379805,1122.0
1459.45,47.324497,-121.429805,1154.0
1461.94,47.355975,-121.455549,1344.0
1465.61,47.407023,-121.433064,979.0
1468.15,47.434527,-121.396864,1362.0
1472.03,47.470723,-121.333418,1488.0
1474.23,47.452143,-121.294934,1502.0
1475.61,47.460657,-121.268116,1137.0
1477.82,47.489902,-121.249067,1384.0
1479.53,47.500735,-121.216112,1574.0
1480.95,47.514989,-121.194021,968.0
1484.24,47.539725,-121.133667,1390.0
1486.32,47.569851,-121.134663,1315.0
1491.35,47.641929,-121.150081,1629.0
1493.89,47.675515,-121.127356,1784.0
1496.75,47.703006,-121.08137,1400.0
1498.84,47.733316,-121.08166,1514.0
1501.88,47.775392,-121.100731,1194.0
1504.07,47.805742,-121.086978,1404.0
1506.72,47.836185,-121.121976,1598.0
1509.27,47.868385,-121.149201,1450.0
1511.92,47.899335,-121.18299,1650.0
1514.39,47.934141,-121.170665,1365.0
1516.91,47.968358,-121.151343,1689.0
1519.94,48.008738,-121.126023,1632.0
1523.1,48.048977,-121.159085,1750.0
1525.92,48.089197,-121.168824,1176.0
1528.34,48.12404,-121.176228,1335.0
1529.99,48.147655,-121.171525,1736.0
1531.55,48.167722,-121.156009,1573.0
1532.43,48.170788,-121.137453,1165.0
1533.44,48.164374,-121.117711,1816.0
1534.74,48.162583,-121.089556,1398.0
1536.38,48.179895,-121.065203,1035.0
1538.43,48.208275,-121.078955,735.0
1541.33,48.184904,-121.026627,893.0
1544.05,48.187032,-120.967523,1409.0
1545.87,48.205747,-120.93969,1751.0
1548.42,48.24206,-120.950036,1437.0
1551.13,48.278633,-120.928458,996.0
1554.26,48.323679,-120.920851,834.0
1558.51,48.368076,-120.856605,632.0
1560.72,48.399646,-120.848569,622.0
1564.38,48.452569,-120.851576,846.0
1568.8,48.46628,-120.757214,1041.0
1571.95,48.503853,-120.718091,1389.0
1574.57,48.541672,-120.724434,1724.0
1577.05,48.568119,-120.687667,1922.0
1580.12,48.589938,-120.746236,1691.0
1583.84,48.641809,-120.723779,1378.0
1585.7,48.668552,-120.720006,1987.0
1589.01,48.707295,-120.677243,1996.0
1593.8,48.772532,-120.713489,1933.0
1597.31,48.821476,-120.734303,1832.0
1599.96,48.858697,-120.748868,1796.0
1603.57,48.908614,-120.772522,2033.0
1606.38,48.949394,-120.774569,1753.0
